name,id,food,price,location,avg_rating
Casa D' Angelo,60516,Italian,1,New York,5.0
Golden Diner,9520,Asian American,1,Chinatown/LES,4.76994
l'abeille,59006,French,3,Tribeca,4.7827
La Compagnie des Vins Surnaturels,5664,French,2,Little Italy,4.82839
MP Governors Island,52210,Italian,4,Governors Island,4.88889
The Dead Rabbit,38660,Irish,2,Financial District,4.82955
Lobby Lounge,60639,Cocktail Bar,1,New York,4.94118
Corner Bar,59068,American,1,Lower East Side,4.81215
Le Dive,60381,French,1,Lower East Side,4.88889
Potluck Club,63514,Asian American,1,Chinatown,5.0
Esquire's Taste of Two Cities,8523,Southeast Asian,2,Nolita,5.0
Dirt Candy,29371,Vegetarian,2,Lower East Side,4.81755
Skin Contact Wine Bar,50714,Wine,3,Lower East Side,4.76871
Houseman,5470,American,2,Hudson Square,4.77519
Taikun Sushi,50244,Sushi,3,Lower East Side,4.91304
CocoShack,60352,Seafood,1,Soho,4.83721
Forsythia,27809,Italian,2,Lower East Side,4.78437
Sushi Ikumi,40735,Sushi,4,Soho,4.93023
Matsunori,58553,Sushi,1,New York,4.77363
Raku Soho,2026,Japanese,2,SoHo,4.83595
Gouie New York,57170,Sushi,1,Lower East Side,4.80147
Em Vietnamese Bistro,51471,Vietnamese,2,DUMBO,4.76452
Sushi on Jones - LES,59384,Sushi,1,New York,4.81818
Sauce Restaurant,59476,Italian,1,New York,4.78313
Morgenstern's Finest Ice Cream,53170,American,4,Greenwich Village,4.82609
Blue Haven-West Village,50804,American,2,Greenwich Village,4.85088
Torien,7318,Japanese,4,Noho,4.83642
8282,54395,Korean,1,New York,4.79949
Kings Co Imperial - Lower East Side,2738,Chinese,2,Lower East Side,4.80423
Figaro NYC,60931,American,2,Greenwich Village,5.0
Kappo Sono / Koryori,58600,Japanese,4,New York,5.0
Sixty Three Clinton,52711,New American,4,Lower East Side,4.89514
Ama Raw Bar - West Village,55270,Seafood,1,New York,4.80408
Balvanera,7140,Argentinean,2,Lower East Side,4.78141
Minetta Tavern,9846,French,2,Greenwich Village,4.76548
Sushi Zo,696,Sushi,4,Greenwich Village,4.89398
da Toscano,8568,Italian,3,Greenwich Village,4.7936
Esora Omakase,54582,Japanese,4,East Village,4.86325
The Noortwyck,58972,New American,2,New York,4.87582
L'accolade,25120,French,2,West village,4.82376
Mr Capri,59674,Italian,1,New York,4.80952
Tuome,6610,New American,2,East Village,4.76774
Shinn East,34687,Sushi,2,East Village,4.86818
Marylou,59859,French,1,East village,4.78704
Noreetuh,5025,American,2,East Village,4.83062
Omakase Room by Mitsu,7519,Sushi,4,West Village,4.8
Bar Lula,57507,Cocktail Bar,1,New York,4.88288
Fairfax,1689,American,2,West Village,4.75915
St Jardim,59132,Natural Wine,1,West Village,4.82963
Cafe Mogador - East Village,34985,Middle Eastern,2,East Village,4.79832
MOKYO,38941,Korean,2,"East Village, NYC",4.84717
Grape & Grain NYC,56489,Mediterranean,1,New York,4.86364
Hanoi House,4272,Vietnamese,2,East Village,4.8103
Sushi Kai,54894,Sushi,1,New York,4.77817
Shabu Tatsu,36758,Japanese,2,East Village,4.80052
TLK - by Tigerlily Kitchen,58637,Southeast Asian,1,East Village,4.78095
Colonie,1999,American,2,Brooklyn Heights,4.83315
Thirteen Water,59903,Sushi,1,Alphabet City,4.86982
Le Boudoir,60757,French,1,Brooklyn Heights,5.0
Sushi Lab - East Village,61135,Sushi,1,East Village,5.0
Accidental Bar,27607,Local,2,East Village,4.91189
Motorino,52420,Italian,1,east village,4.83333
Stafili Wine Cafe,54637,Wine,1,West Village,4.90132
The Wayland,38101,American,2,Alphabet City,4.85235
The Belfry,1513,Cocktail Bar,2,East Village,4.76285
Smør,58326,European,1,East Village,4.84956
Luthun,6369,International,3,East Village,4.78839
Sushi Teru Omakase,44359,Sushi,3,West Village,4.77273
Flex Mussels- WV,3534,Seafood,2,West Village,4.77192
Don Angie,1505,Italian,2,West Village,4.8585
Ama Raw Bar,50258,Seafood,1,East Village,4.78094
Popina NYC,1340,Italian,2,Cobble Hill,4.8242
Barbuto,9649,Italian,2,West Village,4.76978
Pastis,6484,French,2,Meatpacking District,4.78338
Dear Irving Gramercy,5273,Cocktail Bar,2,Gramercy,4.78774
Oiji Mi,58543,Korean,3,Flatiron,4.79048
Cull & Pistol,52635,Seafood,2,Chelsea,4.77778
Sanyuu West,58894,Sushi,1,New York,4.80189
Lucali NY,54876,Pizza,1,Brooklyn,4.8
Salinas,50746,Spanish,2,Chelsea,4.82723
Rucola Restaurant,50791,Italian,2,Boerum Hill,4.77816
Francie,17392,American,3,Williamsburg,4.80245
Sundays Well,33634,American,2,Kips Bay,4.87755
Maison Premiere,51628,Seafood,2,Williamsburg,4.81618
Emma's Torch,53738,American,1,Carroll Gardens,4.85714
Coletta,58982,Vegan,1,New York,4.78693
Pepe Giallo,50277,Italian,1,Chelsea,4.76204
J. Bespoke,6105,American,2,Nomad,4.82108
Colonia Verde,4626,Latin American,2,Fort Greene,4.82925
The Rusty Face,59041,Mediterranean,1,Brooklyn,4.86
Birds of a Feather,63241,Chinese,2,Williamsburg Brooklyn,4.91667
Miss Ada,1246,Mediterranean,2,Fort Greene,4.8082
Shukette,8579,Middle Eastern,2,Chelsea,4.83475
Dinner Party,60228,New American,1,Fort Greene,4.80303
Red Hook Tavern,6377,American,2,Red Hook,4.8378
Tia Pol,55569,Tapas,2,Chelsea,4.82639
Evelina,1851,Italian,2,Fort Greene,4.78142
Tacombi - Williamsburg,7942,Mexican,1,Williamsburg,4.77885
Osteria Brooklyn,62902,Italian,1,Brooklyn- Clinton Hill,5.0
FRADEI,49753,European,3,Fort Greene,4.84399
Franks Wine Bar,3431,Wine,2,Carroll Gardens,4.85853
Somtum Der - Red Hook,61155,Thai,1,"Red Hook, Brooklyn",4.83333
Roman's,1003,Italian,2,Fort Greene,4.84094
Resy Presents: The Women of Food at Kokomo,60425,Caribbean,2,Brooklyn,5.0
Sweetwater Restaurant,8767,American,1,Williamsburg,4.76072
Oregano,62665,Italian,1,Brooklyn,4.875
Laser Wolf Brooklyn,58848,Israeli,2,Williamsburg,4.76829
The Four Horsemen,2492,New American,2,Williamsburg,4.87263
Leo,34822,Pizza,1,Williamsburg,4.8012
Santa Fe BK,63527,Southwest,1,"Williamsburg, Brooklyn",5.0
Le Crocodile,8302,French,2,Williamsburg,4.76715
NUBIANI,60933,Korean BBQ,3,Empire state building,4.95652
Turntable LP Bar & Karaoke,38015,Korean Gastropub,1,Midtown West,4.77818
Santo Brúklin,10729,Fusion,2,Carroll Gardens,4.79154
Aromi,59847,Italian,2,Carrol Garden,4.93939
Pizza Moto,1502,American,2,Red Hook,4.85751
El Pingüino,58513,Seafood,2,Brooklyn,4.78363
Aita Restaurant,3246,Italian,3,Clinton Hill,4.77173
We Got Company,37479,Cocktail Bar,2,Williamsburg,4.76364
El Parador Cafe,6559,Mexican,2,Murray Hill-Kips Bay,4.789
Whitmans- Hudson Yards,60105,Burgers,1,New York,4.875
Bo Peep Cocktail & Highball Store,51236,American,2,Midtown,4.86733
Sofreh,27154,Persian,2,Prospect Heights,4.82738
Lilia,418,Italian,3,Williamsburg,4.77314
MONTESACRO,6689,Italian,2,Williamsburg,4.77801
Nura,54336,New American,2,Greenpoint,4.77216
Place des Fêtes,59848,Mediterranean,1,Clinton Hill,4.84343
Madre,6094,American,2,Greenpoint,4.77345
